device_name,attribute,unit,bmad_ele_name,bmad_factor,bmad_attribute,example_value
YCOR:LI21:174,BDES,kG*m,YC21174,-1/(10.0),bl_kick,0
XCOR:LI21:175,BDES,kG*m,XC21175,-1/(10.0),bl_kick,0
YCOR:LI21:192,BDES,kG*m,YC21192,-1/(10.0),bl_kick,0
XCOR:LI21:191,BDES,kG*m,XC21191,-1/(10.0),bl_kick,0
XCOR:LI21:275,BDES,kG*m,XC21275,-1/(10.0),bl_kick,0
YCOR:LI21:276,BDES,kG*m,YC21276,-1/(10.0),bl_kick,0
XCOR:LI21:302,BDES,kG*m,XC21302,-1/(10.0),bl_kick,0
YCOR:LI21:303,BDES,kG*m,YC21303,-1/(10.0),bl_kick,0
XCOR:LI21:325,BDES,kG*m,XC21325,-1/(10.0),bl_kick,0
YCOR:LI21:325,BDES,kG*m,YC21325,-1/(10.0),bl_kick,0
XCOR:LI21:402,BDES,kG*m,XC21402,-1/(10.0),bl_kick,0
YCOR:LI21:403,BDES,kG*m,YC21403,-1/(10.0),bl_kick,0
XCOR:LI21:502,BDES,kG*m,XC21502,-1/(10.0),bl_kick,0
YCOR:LI21:503,BDES,kG*m,YC21503,-1/(10.0),bl_kick,0
XCOR:LI21:602,BDES,kG*m,XC21602,-1/(10.0),bl_kick,0
YCOR:LI21:603,BDES,kG*m,YC21603,-1/(10.0),bl_kick,0
XCOR:LI21:702,BDES,kG*m,XC21702,-1/(10.0),bl_kick,0
YCOR:LI21:703,BDES,kG*m,YC21703,-1/(10.0),bl_kick,0
XCOR:LI21:802,BDES,kG*m,XC21802,-1/(10.0),bl_kick,0
YCOR:LI21:803,BDES,kG*m,YC21803,-1/(10.0),bl_kick,0
XCOR:LI21:900,BDES,kG*m,XC21900,-1/(10.0),bl_kick,0
YCOR:LI21:900,BDES,kG*m,YC21900,-1/(10.0),bl_kick,0
XCOR:LI22:202,BDES,kG*m,XC22202,-1/(10.0),bl_kick,0
YCOR:LI22:203,BDES,kG*m,YC22203,-1/(10.0),bl_kick,0
XCOR:LI22:302,BDES,kG*m,XC22302,-1/(10.0),bl_kick,0
YCOR:LI22:303,BDES,kG*m,YC22303,-1/(10.0),bl_kick,0
XCOR:LI22:402,BDES,kG*m,XC22402,-1/(10.0),bl_kick,0
YCOR:LI22:403,BDES,kG*m,YC22403,-1/(10.0),bl_kick,0
XCOR:LI22:502,BDES,kG*m,XC22502,-1/(10.0),bl_kick,0
YCOR:LI22:503,BDES,kG*m,YC22503,-1/(10.0),bl_kick,0
XCOR:LI22:602,BDES,kG*m,XC22602,-1/(10.0),bl_kick,0
YCOR:LI22:603,BDES,kG*m,YC22603,-1/(10.0),bl_kick,0
XCOR:LI22:702,BDES,kG*m,XC22702,-1/(10.0),bl_kick,0
YCOR:LI22:703,BDES,kG*m,YC22703,-1/(10.0),bl_kick,0
XCOR:LI22:802,BDES,kG*m,XC22802,-1/(10.0),bl_kick,0
YCOR:LI22:803,BDES,kG*m,YC22803,-1/(10.0),bl_kick,0
XCOR:LI22:900,BDES,kG*m,XC22900,-1/(10.0),bl_kick,0
YCOR:LI22:900,BDES,kG*m,YC22900,-1/(10.0),bl_kick,0
XCOR:LI23:202,BDES,kG*m,XC23202,-1/(10.0),bl_kick,0
YCOR:LI23:203,BDES,kG*m,YC23203,-1/(10.0),bl_kick,0
XCOR:LI23:302,BDES,kG*m,XC23302,-1/(10.0),bl_kick,0
YCOR:LI23:303,BDES,kG*m,YC23303,-1/(10.0),bl_kick,0
XCOR:LI23:402,BDES,kG*m,XC23402,-1/(10.0),bl_kick,0
YCOR:LI23:403,BDES,kG*m,YC23403,-1/(10.0),bl_kick,0
XCOR:LI23:502,BDES,kG*m,XC23502,-1/(10.0),bl_kick,0
YCOR:LI23:503,BDES,kG*m,YC23503,-1/(10.0),bl_kick,0
XCOR:LI23:602,BDES,kG*m,XC23602,-1/(10.0),bl_kick,0
YCOR:LI23:603,BDES,kG*m,YC23603,-1/(10.0),bl_kick,0
XCOR:LI23:702,BDES,kG*m,XC23702,-1/(10.0),bl_kick,0
YCOR:LI23:703,BDES,kG*m,YC23703,-1/(10.0),bl_kick,0
XCOR:LI23:802,BDES,kG*m,XC23802,-1/(10.0),bl_kick,0
YCOR:LI23:803,BDES,kG*m,YC23803,-1/(10.0),bl_kick,0
XCOR:LI23:900,BDES,kG*m,XC23900,-1/(10.0),bl_kick,0
YCOR:LI23:900,BDES,kG*m,YC23900,-1/(10.0),bl_kick,0
XCOR:LI24:202,BDES,kG*m,XC24202,-1/(10.0),bl_kick,0
YCOR:LI24:203,BDES,kG*m,YC24203,-1/(10.0),bl_kick,0
XCOR:LI24:302,BDES,kG*m,XC24302,-1/(10.0),bl_kick,0
YCOR:LI24:303,BDES,kG*m,YC24303,-1/(10.0),bl_kick,0
XCOR:LI24:402,BDES,kG*m,XC24402,-1/(10.0),bl_kick,0
YCOR:LI24:403,BDES,kG*m,YC24403,-1/(10.0),bl_kick,0
XCOR:LI24:502,BDES,kG*m,XC24502,-1/(10.0),bl_kick,0
YCOR:LI24:503,BDES,kG*m,YC24503,-1/(10.0),bl_kick,0
XCOR:LI24:602,BDES,kG*m,XC24602,-1/(10.0),bl_kick,0
YCOR:LI24:603,BDES,kG*m,YC24603,-1/(10.0),bl_kick,0
XCOR:LI24:702,BDES,kG*m,XC24702,-1/(10.0),bl_kick,0
YCOR:LI24:703,BDES,kG*m,YC24703,-1/(10.0),bl_kick,0
XCOR:LI24:900,BDES,kG*m,XC24900,-1/(10.0),bl_kick,0
YCOR:LI24:900,BDES,kG*m,YC24900,-1/(10.0),bl_kick,0
XCOR:LI25:202,BDES,kG*m,XC25202,-1/(10.0),bl_kick,0
YCOR:LI25:203,BDES,kG*m,YC25203,-1/(10.0),bl_kick,0
XCOR:LI25:302,BDES,kG*m,XC25302,-1/(10.0),bl_kick,0
YCOR:LI25:303,BDES,kG*m,YC25303,-1/(10.0),bl_kick,0
XCOR:LI25:402,BDES,kG*m,XC25402,-1/(10.0),bl_kick,0
YCOR:LI25:403,BDES,kG*m,YC25403,-1/(10.0),bl_kick,0
XCOR:LI25:502,BDES,kG*m,XC25502,-1/(10.0),bl_kick,0
YCOR:LI25:503,BDES,kG*m,YC25503,-1/(10.0),bl_kick,0
XCOR:LI25:602,BDES,kG*m,XC25602,-1/(10.0),bl_kick,0
YCOR:LI25:603,BDES,kG*m,YC25603,-1/(10.0),bl_kick,0
XCOR:LI25:702,BDES,kG*m,XC25702,-1/(10.0),bl_kick,0
YCOR:LI25:703,BDES,kG*m,YC25703,-1/(10.0),bl_kick,0
XCOR:LI25:802,BDES,kG*m,XC25802,-1/(10.0),bl_kick,0
YCOR:LI25:803,BDES,kG*m,YC25803,-1/(10.0),bl_kick,0
XCOR:LI25:900,BDES,kG*m,XC25900,-1/(10.0),bl_kick,0
YCOR:LI25:900,BDES,kG*m,YC25900,-1/(10.0),bl_kick,0
XCOR:LI26:202,BDES,kG*m,XC26202,-1/(10.0),bl_kick,0
YCOR:LI26:203,BDES,kG*m,YC26203,-1/(10.0),bl_kick,0
XCOR:LI26:302,BDES,kG*m,XC26302,-1/(10.0),bl_kick,0
YCOR:LI26:303,BDES,kG*m,YC26303,-1/(10.0),bl_kick,0
XCOR:LI26:402,BDES,kG*m,XC26402,-1/(10.0),bl_kick,0
YCOR:LI26:403,BDES,kG*m,YC26403,-1/(10.0),bl_kick,0
XCOR:LI26:502,BDES,kG*m,XC26502,-1/(10.0),bl_kick,0
YCOR:LI26:503,BDES,kG*m,YC26503,-1/(10.0),bl_kick,0
XCOR:LI26:602,BDES,kG*m,XC26602,-1/(10.0),bl_kick,0
YCOR:LI26:603,BDES,kG*m,YC26603,-1/(10.0),bl_kick,0
XCOR:LI26:702,BDES,kG*m,XC26702,-1/(10.0),bl_kick,0
YCOR:LI26:703,BDES,kG*m,YC26703,-1/(10.0),bl_kick,0
