device_name,attribute,units
BTRM:IN20:231, BDES, 
BTRM:IN20:451, BDES,
BTRM:IN20:475, BDES, 
BTRM:IN20:481, BDES, 
BTRM:IN20:661, BDES, 
BTRM:LI21:215, BDES, 
BTRM:LI21:241, BDES, 
BTRM:LI21:261, BDES, 
BTRM:LI24:720, BDES, 
BTRM:LI24:810, BDES, 
BTRM:LI24:880, BDES, 
BTRM:LTU1:220, BDES, 
BTRM:LTU1:280, BDES, 
BTRM:LTU1:420, BDES, 
BTRM:LTU1:480, BDES,   
