device_name,attribute,unit,bmad_ele_name,bmad_factor,bmad_attribute,example_value
BPMS:UND1:1990,X1H,mm,RFBU19,1/1000,x,0
BPMS:UND1:1990,Y1H,mm,RFBU19,1/1000,y,0
BPMS:UND1:2090,X1H,mm,RFBU20,1/1000,x,0
BPMS:UND1:2090,Y1H,mm,RFBU20,1/1000,y,0
BPMS:UND1:2190,X1H,mm,RFBU21,1/1000,x,0
BPMS:UND1:2190,Y1H,mm,RFBU21,1/1000,y,0
BPMS:UND1:2290,X1H,mm,RFBU22,1/1000,x,0
BPMS:UND1:2290,Y1H,mm,RFBU22,1/1000,y,0
BPMS:UND1:2390,X1H,mm,RFBU23,1/1000,x,0
BPMS:UND1:2390,Y1H,mm,RFBU23,1/1000,y,0
BPMS:UND1:2490,X1H,mm,RFBU24,1/1000,x,0
BPMS:UND1:2490,Y1H,mm,RFBU24,1/1000,y,0
BPMS:UND1:2590,X1H,mm,RFBU25,1/1000,x,0
BPMS:UND1:2590,Y1H,mm,RFBU25,1/1000,y,0
BPMS:UND1:2690,X1H,mm,RFBU26,1/1000,x,0
BPMS:UND1:2690,Y1H,mm,RFBU26,1/1000,y,0
BPMS:UND1:2790,X1H,mm,RFBU27,1/1000,x,0
BPMS:UND1:2790,Y1H,mm,RFBU27,1/1000,y,0
BPMS:UND1:2890,X1H,mm,RFBU28,1/1000,x,0
BPMS:UND1:2890,Y1H,mm,RFBU28,1/1000,y,0
BPMS:UND1:2990,X1H,mm,RFBU29,1/1000,x,0
BPMS:UND1:2990,Y1H,mm,RFBU29,1/1000,y,0
BPMS:UND1:3090,X1H,mm,RFBU30,1/1000,x,0
BPMS:UND1:3090,Y1H,mm,RFBU30,1/1000,y,0
BPMS:UND1:3190,X1H,mm,RFBU31,1/1000,x,0
BPMS:UND1:3190,Y1H,mm,RFBU31,1/1000,y,0
BPMS:UND1:3290,X1H,mm,RFBU32,1/1000,x,0
BPMS:UND1:3290,Y1H,mm,RFBU32,1/1000,y,0
BPMS:UND1:3390,X1H,mm,RFBU33,1/1000,x,0
BPMS:UND1:3390,Y1H,mm,RFBU33,1/1000,y,0
BPMS:UND1:3395,X1H,mm,RFBU34,1/1000,x,0
BPMS:UND1:3395,Y1H,mm,RFBU34,1/1000,y,0
BPMS:DMP1:299,X1H,mm,BPMUE1,1/1000,x,0
BPMS:DMP1:299,Y1H,mm,BPMUE1,1/1000,y,0
BPMS:DMP1:381,X1H,mm,BPMUE2,1/1000,x,0
BPMS:DMP1:381,Y1H,mm,BPMUE2,1/1000,y,0
BPMS:DMP1:398,X1H,mm,BPMUE3,1/1000,x,0
BPMS:DMP1:398,Y1H,mm,BPMUE3,1/1000,y,0
BPMS:DMP1:502,X1H,mm,BPMQD,1/1000,x,0
BPMS:DMP1:502,Y1H,mm,BPMQD,1/1000,y,0
BPMS:DMP1:693,X1H,mm,BPMDD,1/1000,x,0
BPMS:DMP1:693,Y1H,mm,BPMDD,1/1000,y,0
